Traffic,Sources,UDP,TCP
2106929,96487,135443,1896381
1989633,96519,137213,1775975
1974694,97867,139253,1758867
1490345,98306,139985,1275096
1359381,98348,139029,1144330
1441198,98738,137849,1226879
1433223,96128,127213,1230409
1433294,95662,130614,1225996
1403888,96161,133879,1194434
1391366,96222,123078,1191576
1427235,96370,118792,1235297
1453743,96240,118323,1261281
1417554,97224,122999,1217347
1338263,97509,125532,1132545
1367131,96928,122610,1168299
1314308,96312,120212,1117379
1293022,94811,118708,1096778
1287717,93569,114237,1096333
1290579,94196,115273,1098932
1295563,96102,121143,1098365
1356421,96657,124231,1154835
1315543,96576,124580,1114272
1359790,96761,124135,1161490
1386303,97430,128099,1180281
1389304,97729,129415,1182654
1318385,98248,131115,1108691
1294084,99042,135222,1080612
1284144,98614,132335,1073123
1281065,98429,132673,1068735
1209802,99299,133171,999026
1092236,99747,136365,875815
1039186,98924,136069,826200
1071022,100125,139967,851439
1133855,99460,137517,915603
1455793,100551,138327,1235749
2279595,100263,137654,2057197
2325114,100321,137846,2083292
2359100,99870,139175,2114773
2397064,99719,140004,2163612
2425022,100211,140999,2201240
3883673,100108,137429,3668178
6876513,99221,134117,6666848
6480930,99794,139341,6266801
5929710,99696,135420,5719644
2174866,100207,135551,1965328
1213913,100154,136627,1004334
1260718,102088,142736,1043466
1136632,102869,141479,920506
1068764,101350,140386,853946
1642914,99277,134186,1435153
2042022,98809,133932,1833996
2095598,98477,132976,1882945
2049664,98839,134788,1826619
2030128,98553,132722,1813701
2053894,99468,133528,1838210
2082639,98920,132073,1873257
2135792,98400,132199,1925352
2107515,98485,132899,1860512
2094932,98832,131877,1872307
2200521,98274,132348,1992736
2078749,96923,132921,1871597
2079104,97342,127669,1878090
2199249,98133,127878,1998171
2053487,97693,124962,1856530
2102872,97348,125612,1904970
1993865,98326,126956,1799067
2032793,97593,126601,1808739
1212403,97543,122147,992645
1085391,98694,126740,855975
1065340,98001,122512,843066
1112113,99327,125678,890354
1112375,98834,125661,887269
1076615,98294,125122,853561
1091624,98790,127669,861892
1109561,98234,124191,886552
1142959,98017,124129,921903
1121614,98916,127818,896233
1117847,98765,124703,891058
1283872,99555,128079,1058686
1165123,99851,126295,940291
1134790,99638,126567,902744
1090508,99051,128268,859497
1087101,99430,127114,859560
1076908,99327,125615,849043
1098674,98445,124837,874547
1267203,98046,125810,1041239
1206510,98339,125020,985276
1177738,98330,125682,950050
1183977,99031,128665,941469
1224187,101332,137441,974092
1543709,101725,137922,1289254
1646118,100802,135354,1397822
2459422,100856,135351,2208437
2757750,100649,135157,2512092
2849160,100899,133625,2599526
2813574,101022,138924,2556117
3992629,101207,135333,3744910
4663942,101076,135828,4416093
4538147,100998,137254,4288916
4151299,101640,137087,3887316
4134150,101955,138190,3858019
4263877,101871,139940,3989987
4211246,101469,137601,3944431
4168103,101035,136695,3918974
4214098,99884,136685,3964486
2394360,99804,130675,2152100
1235133,99404,131266,991365
1107726,99463,130688,861393
1122765,98716,131031,860122
1105647,99574,133973,863330
1155283,99681,138244,889085
1230639,99980,137441,954469
1212977,100052,136374,941133
1150466,100772,140461,878477
1129392,100892,143195,888391
1116404,99936,141870,884565
1132036,101016,143887,899796
1114387,101338,145266,880461
1117845,101431,149768,883752
1107025,101489,154001,874572
1064742,100868,149053,853722
1716584,99964,142914,1512348
2422691,100459,141791,2219114
2416817,100602,144893,2210869
3502704,100326,142045,3299498
3966148,100170,143260,3762063
3894353,100495,141862,3691157
2433864,99257,139845,2232630
2426417,99847,138263,2227847
2405767,99634,137433,2207297
2402786,99470,136422,2200534
2547424,98933,135351,2344035
2376267,100398,138734,2169568
2202349,99403,141563,1979828
1084607,98661,140589,860144
1020491,99924,142594,794696
1035685,99238,134383,816678
1397207,99787,136954,1175393
1831122,99302,139655,1608025
1865689,98986,136402,1642706
1903275,98897,135524,1681882
2030826,98202,134663,1811321
2235106,98238,133650,2007596
2210061,98009,131752,1980508
2309641,98330,134707,2077314
2617735,98423,137370,2353116
1105261,98593,136436,862388
1083252,98967,136667,847096
1086070,98437,134988,800798
1090449,98296,133131,809278
1079867,98168,135181,797469
1032656,98301,132747,797806
1001062,97781,131914,769644
1006432,97620,131408,776467
1016212,98158,132171,784294
1016981,97621,129156,789467
1036806,97484,128865,809603
1048106,96401,126736,821974
1010541,96424,126608,783240
